역할,항목,상세,상태,우선순위,비고
기획자,목적/비전 1페이지 문서화,사이드프로젝트가 아닌 비즈니스라는 전제 서면화,미착수,보통,
기획자,타깃 페르소나 정의,대기업 비계열 독립 중소 시공업체·재하도급업체·프리랜서 PM, 영남권 우선,미착수,높음,2026-07-20 범위 좁힘
기획자,경쟁사 리서치 업데이트,SafeYou+사파이어+안전지키미/세이프로/안전달인/페이퍼리,진행중,높음,2026-07-20 웹리서치 1차 완료
기획자,포스코DX 이해상충 확인,겸업금지·직무발명 조항 사내 확인,미착수,높음,신규 항목
기획자,BM 3원화 구조 확정,무료체험3건/크레딧990~23700원/구독49000~149000원,베타가설채택,높음,990원 최소단위 여부는 베타로 검증
기획자,KICA 네트워크 자가진단,영남 지사 기술지도위원 접근 가능 인맥 점검,미착수,최우선,신규 항목. 결과가 마케팅 채널 우선순위 결정
기획자,기술지도위원 데모 컨택,1명에게 가벼운 데모 시연,미착수,높음,신규 항목
기획자,지자체 지원사업 공고 확인,경북경제진흥원 등 중대재해예방 지원사업,진행중,보통,2026-07-20 1차 확인. 세부조건 054-472-2986 문의 필요
기획자,베타0 참가자 리스트업,인맥 3~5명 텔레그램봇 그대로,진행중,최우선,피드백 수집 중
기획자,베타1 참가자 리스트업,영남권/비대기업계열 10~15명,미착수,높음,조건 반영 리스트 작성 필요
기획자,인터뷰 질문지 작성,신규 질문 3개 포함,진행중,높음,
기획자,베타0 게이트 판단,베타0 결과로 3주차 이후 진행여부 판단,대기,최우선,피드백 수집 대기 중
기획자,문서생성 순서 가이드 콘텐츠 기획,위험성평가표→작업계획서→TBM일지,진행중,보통,2026-07-20 초안 작성
기획자,백로그 Notion 최신화,이 파일로 갱신,완료,보통,2026-07-20
기획자,주간 지표 리뷰 루틴 확정,요일/시간 고정,미착수,낮음,
기획자,피드백→백로그 반영 프로세스,수집→분류→우선순위재조정,미착수,보통,베타0 결과 필요
기획자,콘텐츠/SEO 채널 보류 등록,베타0/1 검증 전까지 보류,완료,낮음,2026-07-20
기획자,Kmong 포트폴리오 업데이트,베타 결과로 갱신,대기,낮음,베타 결과 필요
개발자,Anthropic 정식 API 키 발급,,미착수,최우선,
개발자,Railway Variables 등록,,미착수,최우선,
개발자,구세대 모델ID 전수교체,claude-sonnet-5/haiku-4-5,미착수,최우선,
개발자,cache_control+TTL 적용,베타기간 1시간,미착수,최우선,
개발자,토큰 사용량 로깅 테이블,문서유형별 실측원가 확보,미착수,높음,기획자 요금제 확정 근거
개발자,일일 비용 알림 로직,,미착수,보통,
개발자,지게차 작업유형 게이팅,최소조치→정식구현은 게이트 통과후,미착수,높음,
개발자,Haiku A/B 테스트 하네스,,미착수,보통,
개발자,A/B테스트 20~30건 실행,,미착수,보통,
개발자,python-hwpx PoC,반나절 리스크제거,미착수,높음,2주차 게이트 통과후
개발자,회원가입/로그인 구현,,미착수,보통,3주차 이후
개발자,PG연동,,미착수,보통,5주차
개발자,문서내보내기 PDF/XLSX/HWPX,,미착수,높음,3주차
디자이너,스타일가이드 문서화,,미착수,보통,
디자이너,회원가입/요금제 와이어프레임,,미착수,보통,
데이터분석가,분석툴 선택 및 가입,,미착수,보통,
데이터분석가,핵심 이벤트 정의,,미착수,보통,
운영법무재무,이용약관/개인정보처리방침,,미착수,높음,
운영법무재무,PG사 심사서류 준비,,미착수,보통,
운영법무재무,990원 크레딧 PG수수료 확인,,미착수,보통,신규 항목
마케터,KICA 웜채널 vs 콜드포스팅 우선순위,기획자 자가진단 결과 대기,대기,최우선,신규 업데이트
마케터,디스콰이엇/블라인드 콘텐츠 초안,,미착수,보통,
CS,문의채널 개설,,미착수,보통,
CS,FAQ 작성,,미착수,보통,
